Date_ID,Full_Date,Day,Month,Quarter,Year,Weekday_Name,Is_Weekend
266,2020-09-23,23,9,3,2020,Wednesday,False
267,2020-09-24,24,9,3,2020,Thursday,False
268,2020-09-25,25,9,3,2020,Friday,False
269,2020-09-26,26,9,3,2020,Saturday,True
270,2020-09-27,27,9,3,2020,Sunday,True
271,2020-09-28,28,9,3,2020,Monday,False
272,2020-09-29,29,9,3,2020,Tuesday,False
273,2020-09-30,30,9,3,2020,Wednesday,False
274,2020-10-01,1,10,4,2020,Thursday,False
275,2020-10-02,2,10,4,2020,Friday,False
276,2020-10-03,3,10,4,2020,Saturday,True
277,2020-10-04,4,10,4,2020,Sunday,True
278,2020-10-05,5,10,4,2020,Monday,False
279,2020-10-06,6,10,4,2020,Tuesday,False
280,2020-10-07,7,10,4,2020,Wednesday,False
281,2020-10-08,8,10,4,2020,Thursday,False
282,2020-10-09,9,10,4,2020,Friday,False
283,2020-10-10,10,10,4,2020,Saturday,True
284,2020-10-11,11,10,4,2020,Sunday,True
285,2020-10-12,12,10,4,2020,Monday,False
286,2020-10-13,13,10,4,2020,Tuesday,False
287,2020-10-14,14,10,4,2020,Wednesday,False
288,2020-10-15,15,10,4,2020,Thursday,False
289,2020-10-16,16,10,4,2020,Friday,False
290,2020-10-17,17,10,4,2020,Saturday,True
291,2020-10-18,18,10,4,2020,Sunday,True
292,2020-10-19,19,10,4,2020,Monday,False
293,2020-10-20,20,10,4,2020,Tuesday,False
294,2020-10-21,21,10,4,2020,Wednesday,False
295,2020-10-22,22,10,4,2020,Thursday,False
296,2020-10-23,23,10,4,2020,Friday,False
297,2020-10-24,24,10,4,2020,Saturday,True
298,2020-10-25,25,10,4,2020,Sunday,True
299,2020-10-26,26,10,4,2020,Monday,False
300,2020-10-27,27,10,4,2020,Tuesday,False
301,2020-10-28,28,10,4,2020,Wednesday,False
302,2020-10-29,29,10,4,2020,Thursday,False
303,2020-10-30,30,10,4,2020,Friday,False
304,2020-10-31,31,10,4,2020,Saturday,True
305,2020-11-01,1,11,4,2020,Sunday,True
306,2020-11-02,2,11,4,2020,Monday,False
307,2020-11-03,3,11,4,2020,Tuesday,False
308,2020-11-04,4,11,4,2020,Wednesday,False
309,2020-11-05,5,11,4,2020,Thursday,False
